SUBURB_ID,LABEL
10972,"Raipur North"
10970,"Raipur South"
10971,"Raipur West"
10219,"Rajendra Nagar"
11086,"Rajkot Central"
11087,"Rajkot East"
11090,"Rajkot North"
11089,"Rajkot South"
11088,"Rajkot West"
10073,"Rajpath Club"
10130,"Ranchi Central"
10339,"Ranchi East"
10487,"Ranchi North"
10488,"Ranchi South"
11211,Ranikhet
10432,"Ratnagiri Central"
11191,"Ratnagiri East"
10433,"Ratnagiri North"
10434,"Ratnagiri South"
10475,"Rayagada North"
11158,"Rewari Narnaul Road"
10485,"Rishikesh North"
10467,"Rohtak Central"
10468,"Rohtak East"
10470,"Rohtak North"
10471,"Rohtak South"
10469,"Rohtak West"
11250,"Saharanpur South"
10193,Sahibabad
10315,"Salem Central"
10409,"Salem East"
10314,"Salem North"
10410,"Salem South"
11301,"Sambalpur West"
10077,Sanand1
11333,"Sangli Central"
11336,"Sangli North"
11442,Sankhol
10280,"Saputara Nashik Road"
10442,"Sarjapur Road"
11262,"Sarjapur Road Before Wipro"
10341,"Satara Central"
10342,"Satara North"
10489,"Satara South"
10490,"Satara West"
11462,"Sector 5"
11148,"Sector 5"
11463,"Sector 54"
11149,"Sector 6"
11150,"Sector 7"
11151,"Sector 8"
11152,"Sector 9"
10033,Secunderabad
11118,"Sehore Central"
11119,"Sehore East"
11121,"Sehore North"
11122,"Sehore South"
11120,"Sehore West"
10003,"SG Highway"
10496,"Shahjahanpur Central"
10495,"Shahjahanpur East"
10498,"Shahjahanpur North"
10499,"Shahjahanpur South"
10497,"Shahjahanpur West"
11261,"Sharanpur Road"
10126,"Shimla Central"
11237,"Shivamogga South"
10396,"Shyana Road"
11340,"Sikar North"
11260,"Sikar South"
10482,"Siliguri Central"
11212,"Siliguri East"
10184,"Silliguri North"
11256,"Silliguri South"
11247,"Sindhudurg Central"
11010,"Sindhudurg South"
10254,"Sinhagad Road"
11187,"Sirhind Road"
10517,"Sirsa North"
10293,"Sitapur National Hwy"
10207,Sohna
10024,"Sohna Road"
11440,"Sohna Rural"
10510,"Solan North"
10513,"Solan South"
10380,"Solan West"
